a0,b1,c2,d3,e4,f5,g6,h7,i8,j9,k10,l11,m12,n13,o14,p15,q16,r17,s18,t19
opforce_air,MP_SPETSNAZ_NAME,MP_SPETSNAZ_NAME,MP_SPETSNAZ_ELIMINATED,MP_SPETSNAZ_FORFEITED,faction_128_ussr,faction_128_ussr_fade,RU_,mp_spawn_soviet,mp_victory_soviet,prop_flag_speznas,prop_flag_speznas_carry,objpoint_flag_ussr,misc/ui_flagbase_red,0.6,0.263,0.243,headicon_ussr,com_plasticcase_ussr,com_deploy_ussr
opforce_snow,MP_SPETSNAZ_NAME,MP_SPETSNAZ_NAME,MP_SPETSNAZ_ELIMINATED,MP_SPETSNAZ_FORFEITED,faction_128_ussr,faction_128_ussr_fade,RU_,mp_spawn_soviet,mp_victory_soviet,prop_flag_speznas,prop_flag_speznas_carry,objpoint_flag_ussr,misc/ui_flagbase_red,0.6,0.263,0.243,headicon_ussr,com_plasticcase_ussr,com_deploy_ussr
opforce_urban,MP_SPETSNAZ_NAME,MP_SPETSNAZ_NAME,MP_SPETSNAZ_ELIMINATED,MP_SPETSNAZ_FORFEITED,faction_128_ussr,faction_128_ussr_fade,RU_,mp_spawn_soviet,mp_victory_soviet,prop_flag_speznas,prop_flag_speznas_carry,objpoint_flag_ussr,misc/ui_flagbase_red,0.6,0.263,0.243,headicon_ussr,com_plasticcase_ussr,com_deploy_ussr
opforce_woodland,MP_SPETSNAZ_NAME,MP_SPETSNAZ_NAME,MP_SPETSNAZ_ELIMINATED,MP_SPETSNAZ_FORFEITED,faction_128_ussr,faction_128_ussr_fade,RU_,mp_spawn_soviet,mp_victory_soviet,prop_flag_speznas,prop_flag_speznas_carry,objpoint_flag_ussr,misc/ui_flagbase_red,0.6,0.263,0.243,headicon_ussr,com_plasticcase_ussr,com_deploy_ussr
opforce_africa,MP_AFRICA_MILITIA_NAME,MP_AFRICA_MILITIA_NAME,MP_AFRICA_ELIMINATED,MP_AFRICA_FORFEITED,faction_128_af,faction_128_af_fade,AF_,mp_spawn_af,mp_victory_af,prop_flag_africa,prop_flag_africa_carry,objpoint_flag_africa,misc/ui_flagbase_red,0.6,0.263,0.243,headicon_africa,com_plasticcase_africa,com_deploy_africa
opforce_henchmen,MP_INNERCIRCLE_NAME,MP_INNERCIRCLE_NAME,MP_INNERCIRCLE_ELIMINATED,MP_INNERCIRCLE_FORFEITED,faction_128_ic,faction_128_ic_fade,IC_,mp_spawn_ic,mp_victory_ic,prop_flag_ic,prop_flag_ic_carry,objpoint_flag_ic,misc/ui_flagbase_red,0.6,0.263,0.243,headicon_ic,com_plasticcase_ic,com_deploy_ic
sas_urban,MP_SAS,MP_SAS_SHORT_NAME,MP_SAS_ELIMINATED,MP_SAS_FORFEITED,faction_128_sas,faction_128_sas_fade,UK_,mp_spawn_sas,mp_victory_sas,prop_flag_sas,prop_flag_sas_carry,objpoint_flag_sas,misc/ui_flagbase_black,0.2,0.2,0.2,headicon_sas,com_plasticcase_sas,com_deploy_sas
pmc_africa,MP_PMC,MP_PMC_SHORT_NAME,MP_PMC_ELIMINATED,MP_PMC_FORFEITED,faction_128_pmc,faction_128_pmc_fade,PC_,mp_spawn_pmc,mp_victory_pmc,prop_flag_pmc,prop_flag_pmc_carry,objpoint_flag_pmc,misc/ui_flagbase_black,0.345,0.447,0.631,headicon_pmc,com_plasticcase_pmc,com_deploy_pmc
delta_multicam,MP_DELTA_NAME,MP_DELTA_SHORT_NAME,MP_DELTA_ELIMINATED,MP_DELTA_FORFEITED,faction_128_delta,faction_128_delta_fade,US_,mp_spawn_delta,mp_victory_delta,prop_flag_delta,prop_flag_delta_carry,objpoint_flag_delta,misc/ui_flagbase_black,0.345,0.447,0.631,headicon_delta,com_plasticcase_delta,com_deploy_delta
gign_paris,MP_GIGN,MP_GIGN_SHORT_NAME,MP_GIGN_ELIMINATED,MP_GIGN_FORFEITED,faction_128_gign,faction_128_gign_fade,FR_,mp_spawn_gign,mp_victory_gign,prop_flag_gign,prop_flag_gign_carry,objpoint_flag_gign,misc/ui_flagbase_black,0.2,0.2,0.2,headicon_gign,com_plasticcase_gign,com_deploy_gign
