a0,b1,c2,d3,e4,f5
dm,MPUI_DEATHMATCH,MENU_KILL_EVERYONE_FIRST_PLAYER,weapon_missing_image,1,1
war,MPUI_TEAM_DEATHMATCH,MENU_KILL_PLAYERS_ON_THE_OPPOSING,weapon_missing_image,1,1
sd,MPUI_SEARCH_AND_DESTROY,MENU_TEAMS_TAKE_TURNS_DEFENDING,weapon_missing_image,1,1
sab,MPUI_SABOTAGE,MENU_1_BOMB_IN_THE_CENTER,weapon_missing_image,1,1
dom,MPUI_DOMINATION,MENU_CAPTURE_AND_HOLD_THE,weapon_missing_image,1,1
koth,MPUI_HEADQUARTERS,MENU_CAPTURE_THE_HEADQUARTERS,weapon_missing_image,1,1
oneflag,MPUI_ONE_FLAG,MENU_TEAMS_TAKE_TURNS_CAPTURING,weapon_missing_image,1,1
arena,MPUI_ARENA,MENU_ARENA,weapon_missing_image,1,1
dd,MPUI_DD,MENU_DD,weapon_missing_image,1,1
ctf,MPUI_CTF,MENU_CTF_DESC,weapon_missing_image,1,1
ctfpro,MPUI_CTF_PRO,MENU_CTF_PRO_DESC,weapon_missing_image,1,1
jugg,MPUI_JUGG,MENU_JUGG_DESC,weapon_missing_image,0,0
gun,MPUI_GUN,MENU_GUN_DESC,weapon_missing_image,0,0
oic,MPUI_OIC,MENU_OIC_DESC,weapon_missing_image,0,0
infect,MPUI_INFECT,MENU_INFECT_DESC,weapon_missing_image,0,0
grnd,MPUI_GRND,MENU_GRND_DESC,weapon_missing_image,1,1
tdef,MPUI_TDEF,MENU_TDEF_DESC,weapon_missing_image,1,1
conf,MPUI_CONF,MENU_CONF_DESC,weapon_missing_image,1,1
tjugg,MPUI_TJUGG,MENU_TJUGG_DESC,weapon_missing_image,0,1
